id	label	difficulty	eval_hint	text	notes
ex_0402	3	2	numeric_tolerance	Найди производную функции f(x)=5x^3-2x+7 и вычисли f'(2).	математика: производная + подстановка
ex_0403	3	2	numeric_tolerance	Реши: P(A)=0.4, P(B)=0.5, события независимы. Найди P(A∩B) и P(A∪B).	математика: вероятность
ex_0404	3	3	numeric_tolerance	Вычисли сумму геометрической прогрессии: a1=3, q=1.1, n=12. Дай формулу и результат.	математика: прогрессия
ex_0405	3	2	numeric_tolerance	Реши уравнение: 2x^2 - 5x - 3 = 0. Найди корни и проверь подстановкой.	математика: квадратное уравнение
ex_0406	3	1	numeric_tolerance	Вычисли площадь треугольника по формуле Герона: стороны 5, 6, 7.	математика: формула Герона
ex_0407	3	2	numeric_tolerance	Найди значение sin(30°)+cos(60°). Объясни, какие значения используешь.	математика: тригонометрия базовая
ex_0408	3	3	numeric_tolerance	Сколькими способами можно выбрать 3 человека из 12? Запиши формулу сочетаний и ответ.	математика: комбинаторика
ex_0409	3	2	numeric_tolerance	Дан прямоугольник 8×3. Найди длину диагонали и округли до 3 знаков.	математика: Пифагор
ex_0410	3	3	numeric_tolerance	Найди интеграл ∫(2x) dx от 0 до 5. Запиши первообразную и ответ.	математика: интеграл простой

ex_0501	4	1	json_exact	Из текста нужно вернуть JSON с ключами: name, phone, city. Текст: "Меня зовут Анна Петрова, телефон +7 999 123-45-67, город Казань".	извлечение: простые поля
ex_0502	4	2	json_exact	Вытащи в JSON поля: order_id, items_count, total_sum. Текст: "Заказ №A-551, 3 позиции, итог 12 490 ₽".	извлечение: числа + идентификатор
ex_0503	4	2	json_exact	Из письма извлеки: company, contact_email, due_date (YYYY-MM-DD). Текст: "ООО Ромашка, отвечайте на info@romashka.ru до 15.03.2026".	извлечение: дата + email
ex_0504	4	3	json_exact	Нужно вернуть JSON: {client_name, invoice_number, amount_rub}. Текст: "Счет 00981 для ИП Сидоров на сумму 30500 руб."	извлечение: реквизиты
ex_0505	4	2	json_exact	Из строки извлеки: product, qty, price. Текст: "Кофе Ethiopia Guji — 2 шт по 890".	извлечение: товар + количество + цена
ex_0506	4	3	json_exact	Из текста верни JSON c ключами: from_city, to_city, depart_date. Текст: "Билет: Москва → Ереван, вылет 02/04/2026". Дату приведи к YYYY-MM-DD.	извлечение: маршруты + нормализация даты
ex_0507	4	1	json_exact	Из текста извлеки: username, plan. Текст: "user: kirill_m, тариф: PRO".	извлечение: короткая строка
ex_0508	4	3	json_exact	Верни JSON: {employee, role, salary}. Текст: "Иванов — аналитик, оклад 180000". salary как число.	извлечение: должность + число
ex_0509	4	2	json_exact	Из сообщения извлеки: event, date, location. Текст: "Встреча: демо 10.02.2026 в Zoom".	извлечение: событие + дата + место
ex_0510	4	3	json_exact	Из текста извлеки: doc_type, doc_id, status. Текст: "Документ ACT-77, статус: согласовано".	извлечение: тип + id + статус

ex_0601	5	1	format_check	Сделай краткую выжимку в 5 буллетах и один вывод (1 строка). Текст: <вставь сюда текст отчёта>.	саммари: строгий формат
ex_0602	5	2	format_check	Собери “Key points” (до 6 пунктов) и раздел “Risks” (до 3 пунктов) по тексту ниже: <текст>.	саммари: структурирование
ex_0603	5	2	format_check	Сделай TL;DR (1–2 строки) + 5 тезисов. В тезисах не повторяй слова “важно/круто/плохо”. Текст: <текст>.	саммари: формат + ограничения
ex_0604	5	3	format_check	Суммаризируй стенограмму: 1) Agenda (до 5 пунктов) 2) Decisions (до 5) 3) Next steps (до 7). Текст: <текст стенограммы>.	саммари: протоколирование
ex_0605	5	1	format_check	Сделай краткое резюме письма: “что просят” и “до какого срока”. Текст: <письмо>. Верни 3 буллета.	саммари: извлечь суть
ex_0606	5	3	format_check	Составь краткую справку по документу: 1 абзац summary + список терминов (5–10) с короткими определениями. Текст: <документ>.	саммари: summary + glossary
ex_0607	5	2	format_check	Сделай сравнение двух вариантов, дан текст A и текст B. Выведи: Similarities (3) и Differences (5). Текст A: <...> Текст B: <...>.	саммари: сравнение
ex_0608	5	2	format_check	Нужно превратить длинный текст в конспект: 8–10 буллетов, каждый ≤ 12 слов. Текст: <текст>.	саммари: компрессия
ex_0609	5	1	format_check	Сделай “executive summary” на русском: 4 буллета, без деталей, только выводы. Текст: <текст>.	саммари: executive
ex_0610	5	3	format_check	Суммаризируй статью и выдели 5 утверждений, которые можно проверить фактами (fact-check list). Текст: <статья>.	саммари: проверяемые тезисы

ex_0701	6	2	format_check	Нужен документ требований для внутреннего бота поддержки сотрудников: цели, scope, функциональные требования, нефункциональные требования, критерии приемки.	требования: шаблон
ex_0702	6	3	format_check	Опиши требования к системе “заявки на отпуск”: роли, основные сценарии, бизнес-правила, ограничения, и критерии приемки в Given/When/Then.	требования: сценарии + GWT
ex_0703	6	2	format_check	Составь спецификацию для “формы обратной связи”: поля, валидация, хранение данных, уведомления, требования безопасности.	требования: форма + NFR
ex_0704	6	3	format_check	Нужны требования к “дашборду продаж”: метрики, фильтры, источники данных, обновление, права доступа, SLA.	требования: аналитический продукт
ex_0705	6	2	format_check	Опиши требования для интеграции с внешним сервисом: авторизация, лимиты, обработка ошибок, логирование, ретраи, мониторинг.	требования: интеграция/API
ex_0706	6	3	format_check	Составь user stories и acceptance criteria для “онбординга в приложении” (минимум 8 историй).	требования: user stories
ex_0707	6	1	format_check	Нужен список требований к отчёту: какие поля, формат выгрузки, период, фильтры, кто имеет доступ.	требования: отчёт
ex_0708	6	3	format_check	Опиши требования к “поиску по базе знаний”: ранжирование, фильтры, логирование запросов, метрики качества, права доступа.	требования: поиск/RAG-like
ex_0709	6	2	format_check	Сделай структуру ТЗ для автоматизации согласования документов: этапы процесса, статусы, уведомления, роли, аудит.	требования: workflow
ex_0710	6	3	format_check	Определи нефункциональные требования для корпоративного сервиса: безопасность, доступность, производительность, наблюдаемость.	требования: NFR

ex_0801	7	1	format_check	Перепиши текст так, чтобы звучало нейтрально и профессионально. Сохрани смысл, убери эмоциональные слова. Текст: <текст>.	перефраз: стиль
ex_0802	7	2	format_check	Сократи текст до 60–80 слов, оставив только ключевые факты. Текст: <текст>.	перефраз: сжатие по длине
ex_0803	7	2	format_check	Преобразуй текст в список из 7 буллетов. Каждый буллет начинается с глагола. Текст: <текст>.	перефраз: форматирование
ex_0804	7	3	format_check	Перепиши письмо клиенту: сделать вежливо, конкретно, без оправданий. Добавь 3 пункта next steps. Текст: <письмо>.	перефраз: письмо + структура
ex_0805	7	2	format_check	Убери канцеляризмы и сделай текст “простым языком” (B1). Не меняй факты. Текст: <текст>.	перефраз: упрощение
ex_0806	7	3	format_check	Переформулируй требования в формате “must/should/could”. Исходные требования: <список>.	перефраз: нормализация требований
ex_0807	7	1	format_check	Исправь грамматику и пунктуацию, не меняя смысл. Текст: <текст>.	перефраз: корректура
ex_0808	7	3	format_check	Сделай две версии: (1) коротко для чата (до 30 слов) (2) расширенно для письма (120–160 слов). Текст: <текст>.	перефраз: два стиля
ex_0809	7	2	format_check	Преобразуй абзац в инструкцию: 5 шагов, каждый шаг начинается с “Шаг X:”. Текст: <абзац>.	перефраз: инструкция
ex_0810	7	3	format_check	Сделай из текста “problem statement” и “proposed solution” (2 раздела). Исходник: <текст>.	перефраз: структурирование

ex_0901	8	1	numeric_tolerance	Нужно посчитать итог по сложному проценту: 10000 руб, 10% годовых, 2 года, капитализация раз в год. Дай формулу и ответ.	финансы: сложный процент
ex_0902	8	2	numeric_tolerance	Посчитай маржу и маржинальность: себестоимость 700, цена 1200. Дай оба показателя.	финансы: маржа
ex_0903	8	3	numeric_tolerance	Есть прогноз: выручка 2.4 млн/мес, переменные затраты 35%, фиксированные 900k/мес. Найди точку безубыточности по выручке.	финансы: break-even
ex_0904	8	2	numeric_tolerance	Посчитай LTV при ARPU=1200 руб/мес и среднем сроке жизни 8 месяцев.	финансы: LTV
ex_0905	8	3	numeric_tolerance	NPV: инвестиция -500000 сейчас, затем +200000, +220000, +250000 по годам 1..3. Дисконт 12%. Найди NPV.	финансы: NPV
ex_0906	8	2	numeric_tolerance	CAC: потратили 300000 на маркетинг, привлекли 240 клиентов. Посчитай CAC.	финансы: CAC
ex_0907	8	1	numeric_tolerance	ROI: вложили 150000, получили прибыль 45000. Посчитай ROI в процентах.	финансы: ROI
ex_0908	8	3	numeric_tolerance	Конверсия: 1200 лидов → 96 оплат. Средний чек 8000. Посчитай выручку и конверсию в %.	финансы: конверсия + выручка
ex_0909	8	2	numeric_tolerance	Рассчитай ежемесячный платеж по аннуитету: сумма 300000, ставка 18% годовых, срок 12 месяцев. (Можно приближенно.)	финансы: аннуитет
ex_0910	8	2	numeric_tolerance	Курс валют: нужно оплатить 2500 EUR по курсу 103.4 руб. Сколько рублей нужно?	финансы: пересчёт валюты
