id	required_agents	difficulty	eval_hint	text	notes
ex_0009	0,1,2	2	код + SQL + анализ	Создай ETL-процесс: извлеки данные из базы, обработай их и построй сводную таблицу с метриками.	Code для ETL, SQL для извлечения, Data Analysis для сводки.
ex_0010	6,4,7	2	ТЗ + JSON + стиль	Опиши требования к API интеграции с партнёром, представь в структурированном формате и адаптируй текст для технической документации.	Requirements для описания, Structured Extraction для формата, Rewrite для документации.
ex_0011	2,3,8	2	анализ + мат + финансы	Вычисли NPV для проекта с инвестициями 10 млн и денежными потоками по годам, проанализируй чувствительность к ставке дисконтирования.	Data Analysis для обработки, Math для формул NPV, Finance для финансовых показателей.
ex_0012	0,5,7	2	код + саммари + стиль	Напиши утилиту для генерации отчётов, добавь функцию резюмирования результатов и адаптируй вывод под разные аудитории.	Code для утилиты, Summarization для резюме, Rewrite для адаптации.
ex_0013	1,2,5	2	SQL + анализ + резюме	Выполни запрос по продажам филиалов, сравни показатели между регионами и составь краткий вывод с рекомендациями.	SQL для запроса, Data Analysis для сравнения, Summarization для вывода.
ex_0014	4,6,7	2	JSON + ТЗ + стиль	Извлеки из описания проекта ключевые параметры в структурированный вид, составь по ним спецификацию и переформулируй её для нетехнической аудитории.	Structured Extraction для извлечения, Requirements для спецификации, Rewrite для адаптации.
ex_0015	0,3,8	2	код + мат + финансы	Реализуй калькулятор для расчёта IRR по произвольным денежным потокам, используй численные методы.	Code для реализации, Math для численных методов, Finance для IRR.
ex_0016	2,5,6	2	анализ + резюме + ТЗ	Изучи данные о пользовательском поведении, выдели основные паттерны, сформулируй требования к улучшению продукта на основе выводов.	Data Analysis для паттернов, Summarization для выводов, Requirements для требований.
ex_0017	1,3,4	2	SQL + мат + JSON	Получи статистику по транзакциям, вычисли медиану и квартили, оформи результат в структурированном формате.	SQL для статистики, Math для вычислений, Structured Extraction для формата.
ex_0018	0,2,4	2	код + анализ + JSON	Напиши обработчик лог-файлов, извлеки метрики производительности и представь их в структурированном виде для дальнейшего анализа.	Code для обработчика, Data Analysis для метрик, Structured Extraction для структуры.
ex_0019	5,6,7	2	резюме + ТЗ + стиль	Подготовь краткий обзор текущего функционала системы, на его основе составь требования к новой версии и адаптируй под презентацию стейкхолдерам.	Summarization для обзора, Requirements для требований, Rewrite для презентации.
ex_0020	3,5,8	2	мат + резюме + финансы	Реши задачу линейного программирования для бюджетирования, оформи решение кратко и рассчитай финансовый эффект.	Math для задачи, Summarization для краткости, Finance для эффекта.
ex_0021	0,1,4	2	код + SQL + JSON	Создай скрипт для миграции данных между базами с преобразованием схемы и выводом отчёта в структурированном формате.	Code для скрипта, SQL для миграции, Structured Extraction для отчёта.
ex_0022	2,6,8	2	анализ + ТЗ + финансы	Проанализируй юнит-экономику продукта, составь требования к оптимизации воронки и рассчитай влияние на LTV.	Data Analysis для анализа, Requirements для оптимизации, Finance для LTV.
ex_0023	1,5,7	2	SQL + резюме + стиль	Выгрузи данные по инцидентам за месяц, подготовь краткий отчёт и переформулируй его для отправки клиентам.	SQL для выгрузки, Summarization для отчёта, Rewrite для клиентов.
ex_0024	0,6,8	2	код + ТЗ + финансы	Опиши архитектуру микросервиса для расчёта комиссий, реализуй прототип и добавь функционал расчёта сложных процентов.	Requirements для архитектуры, Code для прототипа, Finance для комиссий.
ex_0025	3,4,6	2	мат + JSON + ТЗ	Реши систему уравнений для балансировки нагрузки, представь решение в структурированном виде и составь рекомендации по настройке.	Math для решения, Structured Extraction для структуры, Requirements для рекомендаций.
ex_0026	1,2,3	2	SQL + анализ + мат	Извлеки данные о времени выполнения задач, вычисли статистические показатели и построй модель прогнозирования.	SQL для извлечения, Data Analysis для показателей, Math для модели.
ex_0027	0,5,6	2	код + резюме + ТЗ	Напиши модуль для агрегации логов, добавь функцию генерации саммари и составь спецификацию API.	Code для модуля, Summarization для саммари, Requirements для API.
ex_0028	4,7,8	2	JSON + стиль + финансы	Извлеки из договора финансовые условия в структурированный вид, переформулируй их понятным языком и рассчитай полную стоимость владения.	Structured Extraction для условий, Rewrite для понятности, Finance для расчёта.
ex_0029	2,3,5	2	анализ + мат + резюме	Обработай экспериментальные данные, вычисли доверительные интервалы и подготовь краткое заключение с выводами.	Data Analysis для обработки, Math для интервалов, Summarization для заключения.
ex_0030	0,1,5	2	код + SQL + резюме	Реализуй сервис для мониторинга базы данных, выполни диагностические запросы и сформируй отчёт о состоянии системы.	Code для сервиса, SQL для запросов, Summarization для отчёта.
ex_0031	0,4,6,7	3	код + JSON + ТЗ + стиль	Разработай конвертер документов, извлекай метаданные в структурированный формат, составь техническое описание и адаптируй его для пользовательской документации.	Code для конвертера, Structured Extraction для метаданных, Requirements для описания, Rewrite для документации.
ex_0032	1,2,3,5	3	SQL + анализ + мат + резюме	Выгрузи метрики производительности системы, построй регрессионную модель для прогноза нагрузки, проанализируй аномалии и подготовь развёрнутый отчёт.	SQL для метрик, Data Analysis для аномалий, Math для регрессии, Summarization для отчёта.
ex_0033	2,4,6,8	3	анализ + JSON + ТЗ + финансы	Проанализируй когорты пользователей, извлеки ключевые сегменты в структурированный вид, составь требования к таргетированным кампаниям и рассчитай ожидаемый ROI.	Data Analysis для когорт, Structured Extraction для сегментов, Requirements для кампаний, Finance для ROI.
ex_0034	0,3,5,8	3	код + мат + резюме + финансы	Создай модель оценки кредитного риска с использованием численных методов, реализуй расчёт вероятности дефолта и подготовь резюме с финансовыми рекомендациями.	Code для модели, Math для методов, Summarization для резюме, Finance для риска.
ex_0035	1,4,5,7	3	SQL + JSON + резюме + стиль	Получи данные о жалобах клиентов, структурируй их по категориям, составь краткий отчёт для руководства и переформулируй для публикации в блоге компании.	SQL для данных, Structured Extraction для категорий, Summarization для отчёта, Rewrite для блога.
ex_0036	0,2,6,7	3	код + анализ + ТЗ + стиль	Напиши библиотеку для визуализации метрик, реализуй анализ трендов, составь руководство по использованию и адаптируй примеры для разных уровней пользователей.	Code для библиотеки, Data Analysis для трендов, Requirements для руководства, Rewrite для адаптации.
ex_0037	3,4,6,8	3	мат + JSON + ТЗ + финансы	Реши задачу оптимального распределения бюджета между проектами, оформи результаты в структурированном виде, составь рекомендации по инвестициям и рассчитай NPV каждого проекта.	Math для оптимизации, Structured Extraction для результатов, Requirements для рекомендаций, Finance для NPV.
ex_0038	0,1,2,4	3	код + SQL + анализ + JSON	Разработай ETL-пайплайн для консолидации данных из нескольких источников, выполни трансформацию и валидацию, построй аналитические срезы и выгрузи результат в структурированном формате.	Code для пайплайна, SQL для консолидации, Data Analysis для срезов, Structured Extraction для выгрузки.
ex_0039	1,3,5,8	3	SQL + мат + резюме + финансы	Извлеки историю транзакций, вычисли скользящие средние и волатильность, подготовь краткий инвестиционный обзор с расчётом доходности.	SQL для истории, Math для вычислений, Summarization для обзора, Finance для доходности.
ex_0040	2,5,6,7	3	анализ + резюме + ТЗ + стиль	Исследуй метрики вовлечённости пользователей, выдели ключевые инсайты, сформулируй требования к продуктовым улучшениям и подготовь презентацию для инвесторов.	Data Analysis для метрик, Summarization для инсайтов, Requirements для улучшений, Rewrite для презентации.
ex_0041	0,4,5,6	3	код + JSON + резюме + ТЗ	Создай парсер API-ответов, извлекай данные в структурированный формат, генерируй краткие саммари для каждого запроса и составь спецификацию интеграции.	Code для парсера, Structured Extraction для формата, Summarization для саммари, Requirements для спецификации.
ex_0042	1,2,7,8	3	SQL + анализ + стиль + финансы	Выгрузи данные о продажах по каналам, проанализируй эффективность каждого канала, рассчитай CAC и LTV, переформулируй выводы для маркетинговой команды.	SQL для выгрузки, Data Analysis для эффективности, Finance для CAC/LTV, Rewrite для команды.
ex_0043	0,3,6,8	3	код + мат + ТЗ + финансы	Реализуй модуль для расчёта амортизации активов различными методами, опиши требования к интеграции с бухгалтерской системой и добавь расчёт налоговых льгот.	Code для модуля, Math для методов, Requirements для интеграции, Finance для амортизации.
ex_0044	2,3,4,5	3	анализ + мат + JSON + резюме	Обработай результаты A/B-теста, вычисли статистическую значимость различий, структурируй данные по группам и подготовь краткий отчёт с рекомендациями.	Data Analysis для обработки, Math для значимости, Structured Extraction для структуры, Summarization для отчёта.
ex_0045	1,4,6,7	3	SQL + JSON + ТЗ + стиль	Получи конфигурацию системы из базы, представь её в структурированном формате, составь документацию по настройке и адаптируй для внешних партнёров.	SQL для конфигурации, Structured Extraction для формата, Requirements для документации, Rewrite для партнёров.
ex_0046	0,2,5,8	3	код + анализ + резюме + финансы	Напиши скрипт для симуляции инвестиционного портфеля, проведи анализ рисков и доходности, сформируй краткое резюме и рассчитай Sharpe ratio.	Code для скрипта, Data Analysis для анализа, Summarization для резюме, Finance для Sharpe.
ex_0047	3,5,6,7	3	мат + резюме + ТЗ + стиль	Реши задачу нелинейной оптимизации для планирования производства, подготовь краткое описание решения, составь рекомендации по внедрению и адаптируй их для производственного отдела.	Math для оптимизации, Summarization для описания, Requirements для рекомендаций, Rewrite для отдела.
ex_0048	0,1,3,4	3	код + SQL + мат + JSON	Создай систему для анализа временных рядов: загружай данные из базы, применяй методы декомпозиции, структурируй прогнозы и выводи в стандартном формате.	Code для системы, SQL для загрузки, Math для декомпозиции, Structured Extraction для вывода.
ex_0049	1,2,5,6	3	SQL + анализ + резюме + ТЗ	Выполни запрос по клиентской базе, проанализируй сегменты по различным критериям, составь краткий отчёт о находках и сформулируй требования к CRM-системе.	SQL для запроса, Data Analysis для сегментов, Summarization для отчёта, Requirements для CRM.
ex_0050	2,4,7,8	3	анализ + JSON + стиль + финансы	Проанализируй финансовую отчётность компании, извлеки ключевые показатели в структурированный вид, переформулируй для годового отчёта и рассчитай рентабельность по направлениям.	Data Analysis для анализа, Structured Extraction для показателей, Rewrite для отчёта, Finance для рентабельности.
ex_0051	0,5,7,8	3	код + резюме + стиль + финансы	Реализуй калькулятор для сложных финансовых продуктов, добавь функцию генерации резюме условий, адаптируй интерфейс под разные языки и рассчитай эффективную процентную ставку.	Code для калькулятора, Summarization для резюме, Rewrite для языков, Finance для ставки.
ex_0052	1,3,6,7	3	SQL + мат + ТЗ + стиль	Извлеки метрики SLA из базы мониторинга, вычисли процент выполнения по периодам, составь требования к улучшению сервиса и переформулируй для клиентского портала.	SQL для метрик, Math для вычислений, Requirements для улучшения, Rewrite для портала.
ex_0053	0,2,3,6	3	код + анализ + мат + ТЗ	Напиши модуль для обработки сенсорных данных, проанализируй шумы и выбросы, примени фильтрацию и составь спецификацию калибровки оборудования.	Code для модуля, Data Analysis для выбросов, Math для фильтрации, Requirements для калибровки.
ex_0054	1,4,5,8	3	SQL + JSON + резюме + финансы	Получи данные о расходах по проектам, структурируй их по статьям затрат, подготовь краткий отчёт для бюджетного комитета и рассчитай отклонения от плана.	SQL для данных, Structured Extraction для статей, Summarization для отчёта, Finance для отклонений.
ex_0055	2,3,5,7	3	анализ + мат + резюме + стиль	Обработай результаты опроса сотрудников, вычисли корреляции между показателями удовлетворённости, составь краткие выводы и адаптируй их для внутреннего newsletter.	Data Analysis для обработки, Math для корреляций, Summarization для выводов, Rewrite для newsletter.
ex_0056	0,1,6,8	3	код + SQL + ТЗ + финансы	Разработай модуль для автоматического расчёта зарплат, интегрируй его с базой кадровых данных, составь требования к учёту налогов и добавь расчёт премиальных.	Code для модуля, SQL для интеграции, Requirements для налогов, Finance для премиальных.
ex_0057	3,4,7,8	3	мат + JSON + стиль + финансы	Реши задачу оптимизации налоговой нагрузки для холдинга, представь схему в структурированном виде, переформулируй для совета директоров и рассчитай экономию.	Math для оптимизации, Structured Extraction для схемы, Rewrite для совета, Finance для экономии.
ex_0058	0,2,4,5	3	код + анализ + JSON + резюме	Создай систему мониторинга API, собирай метрики производительности, структурируй их для дашборда и генерируй ежедневные саммари о состоянии сервисов.	Code для системы, Data Analysis для метрик, Structured Extraction для дашборда, Summarization для саммари.
ex_0059	1,2,6,7	3	SQL + анализ + ТЗ + стиль	Выгрузи данные о конверсии воронки продаж, проанализируй узкие места, составь требования к улучшению процесса и подготовь презентацию для отдела продаж.	SQL для выгрузки, Data Analysis для узких мест, Requirements для улучшения, Rewrite для презентации.
ex_0060	0,3,5,6	3	код + мат + резюме + ТЗ	Реализуй решатель для задач линейного программирования, добавь визуализацию результатов, составь краткое руководство пользователя и опиши требования к входным данным.	Code для решателя, Math для задач, Summarization для руководства, Requirements для данных.
ex_0061	1,5,7,8	3	SQL + резюме + стиль + финансы	Извлеки историю платежей клиентов, подготовь краткий отчёт о платёжной дисциплине, адаптируй его для юридического отдела и рассчитай просроченную задолженность.	SQL для истории, Summarization для отчёта, Rewrite для юристов, Finance для задолженности.
ex_0062	2,4,6,8	3	анализ + JSON + ТЗ + финансы	Изучи паттерны расходов пользователей, извлеки типовые сценарии в структурированный вид, составь требования к системе рекомендаций и оцени потенциальную выгоду.	Data Analysis для паттернов, Structured Extraction для сценариев, Requirements для рекомендаций, Finance для выгоды.
ex_0063	0,1,2,5,6	4	код + SQL + анализ + резюме + ТЗ	Разработай платформу для сбора обратной связи: создай скрипты загрузки из базы, проанализируй тональность отзывов, сформируй краткие инсайты и составь требования к автоматизации обработки.	Code для платформы, SQL для загрузки, Data Analysis для тональности, Summarization для инсайтов, Requirements для автоматизации.
ex_0064	0,2,3,4,8	4	код + анализ + мат + JSON + финансы	Создай модель прогнозирования выручки: реализуй алгоритм машинного обучения, обработай исторические данные, вычисли доверительные интервалы, структурируй прогнозы и рассчитай влияние на денежный поток.	Code для модели, Data Analysis для данных, Math для интервалов, Structured Extraction для прогнозов, Finance для денежного потока.
ex_0065	1,2,5,6,7	4	SQL + анализ + резюме + ТЗ + стиль	Выгрузи метрики качества обслуживания, проанализируй динамику по периодам, подготовь краткий отчёт для руководства, составь план улучшения и адаптируй его для презентации команде поддержки.	SQL для метрик, Data Analysis для динамики, Summarization для отчёта, Requirements для плана, Rewrite для команды.
ex_0066	0,3,4,5,6	4	код + мат + JSON + резюме + ТЗ	Реализуй калькулятор для расчёта сложных инженерных конструкций, примени методы конечных элементов, структурируй результаты расчёта, создай краткое описание и составь техническое задание на интеграцию.	Code для калькулятора, Math для методов, Structured Extraction для результатов, Summarization для описания, Requirements для ТЗ.
ex_0067	1,3,4,7,8	4	SQL + мат + JSON + стиль + финансы	Получи данные о кредитном портфеле, вычисли вероятности дефолта по сегментам, структурируй рейтинги заёмщиков, переформулируй отчёт для регулятора и рассчитай резервы под обесценение.	SQL для портфеля, Math для вероятностей, Structured Extraction для рейтингов, Rewrite для регулятора, Finance для резервов.
ex_0068	0,1,2,5,7	4	код + SQL + анализ + резюме + стиль	Создай дашборд для визуализации бизнес-метрик: загружай данные из базы, реализуй расчёт KPI, формируй ежедневные саммари и адаптируй отчёты под разные роли пользователей.	Code для дашборда, SQL для загрузки, Data Analysis для KPI, Summarization для саммари, Rewrite для ролей.
ex_0069	2,3,5,6,8	4	анализ + мат + резюме + ТЗ + финансы	Проанализируй эффективность рекламных кампаний, вычисли статистическую значимость результатов, подготовь краткий отчёт с выводами, составь рекомендации по оптимизации бюджета и рассчитай ROAS.	Data Analysis для эффективности, Math для значимости, Summarization для отчёта, Requirements для рекомендаций, Finance для ROAS.
ex_0070	0,4,5,6,7	4	код + JSON + резюме + ТЗ + стиль	Разработай конвертер для миграции данных между CRM-системами, извлекай записи в стандартный формат, генерируй отчёты о проблемах, составь инструкцию по использованию и адаптируй её для технической поддержки.	Code для конвертера, Structured Extraction для формата, Summarization для отчётов, Requirements для инструкции, Rewrite для поддержки.
ex_0071	1,2,4,6,8	4	SQL + анализ + JSON + ТЗ + финансы	Выгрузи транзакции по счетам, проанализируй аномальные операции, структурируй подозрительные паттерны, составь требования к системе мониторинга и оцени потенциальные финансовые риски.	SQL для транзакций, Data Analysis для аномалий, Structured Extraction для паттернов, Requirements для системы, Finance для рисков.
ex_0072	0,1,3,5,8	4	код + SQL + мат + резюме + финансы	Создай систему для бэктестинга торговых стратегий: загружай котировки из базы, реализуй расчёт индикаторов, формируй краткие отчёты по каждой стратегии и вычисли максимальную просадку.	Code для системы, SQL для котировок, Math для индикаторов, Summarization для отчётов, Finance для просадки.
ex_0073	2,4,5,7,8	4	анализ + JSON + резюме + стиль + финансы	Обработай данные о структуре затрат компании, извлеки ключевые статьи расходов в структурированный вид, подготовь краткое резюме для CFO, адаптируй его для годового отчёта акционерам и рассчитай маржинальность.	Data Analysis для обработки, Structured Extraction для статей, Summarization для резюме, Rewrite для отчёта, Finance для маржинальности.
ex_0074	0,2,3,6,7	4	код + анализ + мат + ТЗ + стиль	Напиши библиотеку для численного интегрирования, реализуй методы трапеций и Симпсона, протестируй на наборе функций, составь документацию и адаптируй примеры для студентов.	Code для библиотеки, Data Analysis для тестирования, Math для методов, Requirements для документации, Rewrite для студентов.
ex_0075	1,3,4,5,6	4	SQL + мат + JSON + резюме + ТЗ	Извлеки данные о загрузке серверов, вычисли тренды и прогнозы на следующий месяц, структурируй результаты мониторинга, подготовь краткий отчёт и составь требования к масштабированию инфраструктуры.	SQL для данных, Math для прогнозов, Structured Extraction для результатов, Summarization для отчёта, Requirements для масштабирования.
ex_0076	0,1,5,7,8	4	код + SQL + резюме + стиль + финансы	Разработай автоматизированный отчёт о прибылях и убытках: выгружай данные из учётной системы, генерируй краткие саммари по подразделениям, адаптируй формат для разных стейкхолдеров и рассчитай EBITDA.	Code для отчёта, SQL для выгрузки, Summarization для саммари, Rewrite для стейкхолдеров, Finance для EBITDA.
ex_0077	2,3,4,6,7	4	анализ + мат + JSON + ТЗ + стиль	Проанализируй результаты клинических испытаний, вычисли статистические показатели эффективности препарата, структурируй данные по группам, составь протокол дальнейших исследований и адаптируй выводы для научной публикации.	Data Analysis для результатов, Math для показателей, Structured Extraction для структуры, Requirements для протокола, Rewrite для публикации.
ex_0078	0,2,4,5,8	4	код + анализ + JSON + резюме + финансы	Создай инструмент для анализа инвестиционного портфеля: обработай данные о позициях, извлеки информацию по классам активов, сформируй краткий обзор и рассчитай диверсификацию и корреляции.	Code для инструмента, Data Analysis для обработки, Structured Extraction для классов, Summarization для обзора, Finance для диверсификации.
ex_0079	1,2,3,4,5	4	SQL + анализ + мат + JSON + резюме	Выполни запрос по логам доступа к системе, проанализируй паттерны использования, вычисли пиковые нагрузки, структурируй отчёт по пользователям и подготовь краткое резюме для администраторов.	SQL для запроса, Data Analysis для паттернов, Math для нагрузок, Structured Extraction для отчёта, Summarization для резюме.
ex_0080	0,3,5,6,8	4	код + мат + резюме + ТЗ + финансы	Реализуй модель оценки стоимости опционов методом Блэка-Шоулза, добавь функцию краткого объяснения результатов, составь требования к интерфейсу трейдера и рассчитай греки опционов.	Code для модели, Math для метода, Summarization для объяснения, Requirements для интерфейса, Finance для греков.
ex_0081	0,1,2,3,4,5	5	код + SQL + анализ + мат + JSON + резюме	Разработай систему детекции мошенничества: загружай транзакции из базы, проанализируй аномалии с помощью статистических методов, примени машинное обучение, структурируй найденные паттерны и генерируй ежедневные отчёты о подозрительной активности.	Code для системы, SQL для загрузки, Data Analysis для аномалий, Math для статистики, Structured Extraction для паттернов, Summarization для отчётов.
ex_0082	0,2,4,5,6,7	5	код + анализ + JSON + резюме + ТЗ + стиль	Создай платформу для управления продуктовым бэклогом: реализуй модуль приоритизации задач, проанализируй метрики выполнения, извлеки ключевые инсайты в структурированный вид, подготовь краткие отчёты для стейкхолдеров, составь требования к интеграции с Jira и адаптируй интерфейс под разные команды.	Code для платформы, Data Analysis для метрик, Structured Extraction для инсайтов, Summarization для отчётов, Requirements для интеграции, Rewrite для команд.
ex_0083	1,2,3,5,7,8	5	SQL + анализ + мат + резюме + стиль + финансы	Выгрузи данные о доходности инвестиционных фондов, проанализируй риск-профили, вычисли коэффициенты Шарпа и Сортино, подготовь краткий инвестиционный обзор, адаптируй его для клиентов банка и рассчитай комиссионные доходы.	SQL для выгрузки, Data Analysis для профилей, Math для коэффициентов, Summarization для обзора, Rewrite для клиентов, Finance для комиссий.
ex_0084	0,1,3,4,6,8	5	код + SQL + мат + JSON + ТЗ + финансы	Разработай модуль для расчёта пенсионных накоплений: интегрируй с базой данных сотрудников, реализуй актуарные вычисления, структурируй персональные планы в стандартном формате, составь спецификацию отчётности для ПФР и добавь расчёт инвестиционного дохода.	Code для модуля, SQL для интеграции, Math для актуарных расчётов, Structured Extraction для планов, Requirements для отчётности, Finance для дохода.
ex_0085	2,3,4,5,6,8	5	анализ + мат + JSON + резюме + ТЗ + финансы	Проанализируй эффективность филиальной сети банка: обработай данные по выданным кредитам и депозитам, вычисли показатели рентабельности каждого отделения, структурируй рейтинг филиалов, подготовь краткий отчёт для правления, составь рекомендации по оптимизации и рассчитай экономический эффект от закрытия убыточных точек.	Data Analysis для обработки, Math для рентабельности, Structured Extraction для рейтинга, Summarization для отчёта, Requirements для рекомендаций, Finance для эффекта.
ex_0086	0,2,3,5,6,7	5	код + анализ + мат + резюме + ТЗ + стиль	Создай систему прогнозирования спроса на товары: реализуй модели временных рядов, обработай исторические продажи, вычисли сезонность и тренды, сформируй краткие прогнозы по категориям, составь требования к интеграции с системой закупок и адаптируй отчёты для закупщиков.	Code для системы, Data Analysis для продаж, Math для моделей, Summarization для прогнозов, Requirements для интеграции, Rewrite для закупщиков.
ex_0087	1,3,4,5,7,8	5	SQL + мат + JSON + резюме + стиль + финансы	Извлеки портфель ценных бумаг клиентов, вычисли параметры распределения доходностей, структурируй рекомендации по ребалансировке, подготовь краткий отчёт для wealth management, адаптируй его для клиентской рассылки и рассчитай налоговые последствия сделок.	SQL для портфеля, Math для распределений, Structured Extraction для рекомендаций, Summarization для отчёта, Rewrite для рассылки, Finance для налогов.
